"Item","Name","Family","LineScale","LineVendor","Weight","Price","Amount","BaseAmount"
"4","MOLIDA ESP","1","2","102","0.23","192","44.16","44.16"
"28","BISTEC REBANADO","1","2","102","0.15","135","20.25","20.25"
"3","BISTEC RES","1","3","102","0.21","192","40.32","40.32"
"3","BISTEC RES","1","3","102","0.2","192","38.4","38.4"
"3","BISTEC RES","1","3","102","0.2","192","38.4","38.4"
"3","BISTEC RES","1","3","102","0.21","192","40.32","40.32"
"3","BISTEC RES","1","3","102","0.2","192","38.4","38.4"
"28","BISTEC REBANADO","1","2","102","0.63","135","85.05","85.05"
"70","TOCINO","2","2","102","0.63","175","110.25","110.25"
"79","CUERO CERDO","2","2","102","0.63","58","36.54","36.54"
"74","CABEZA","2","2","102","0.63","32","20.16","20.16"
"66","ESPINAZO","2","2","102","0.63","71","44.73","44.73"
"66","ESPINAZ","2","3","102","0.25","71","17.75","17.75"
"52","PAPAS G","3","2","104","0.28","97","27.16","27.16"
"45","MILANESA P","3","2","102","0.28","175","49","49"
"1","HUEVO","3","2","102","0.28","38","10.64","10.64"
